location,species
G-truncatulinoides/3b055ee1f0024734aee14439856f9e0c.tif,G-truncatulinoides
G-truncatulinoides/775bf0b8b3e54c0c83a8adc5c133d75d.tif,G-truncatulinoides
G-tumida/ad8465dfea7a46cea47a57fd9737af88.tif,G-tumida
G-tumida/a7ee8a8886c044ada3259ec922900f87.tif,G-tumida
N-acostaensis/53a35b3211f54c5fa973073f24dc6687.tif,N-acostaensis
G-truncatulinoides/34b93efb9bb54e0a9a1c4e2230e4b007.tif,G-truncatulinoides
G-elongatus/7f99f8909ffe4c27afb109fd3c89c8de.tif,G-elongatus
G-tumida/16425425f56b46bfbdb283fd148c435b.tif,G-tumida
G-crassaformis/524fac8302ad421badd7642acaca0a55.tif,G-crassaformis
G-siphonifera/58bd4b8ba6aa4b0a966176adbccd5fda.tif,G-siphonifera
S-dehiscen/8f8bcaa943ee4137b06bc17cd1e68ecc.tif,S-dehiscen
G-sacculifer/4586f8014ffd4f3587cf37e5db96aa7b.tif,G-sacculifer
G-ungulata/64758a6d981748eda34763554ad8e492.tif,G-ungulata
G-sacculifer/d02e11297cb44bac9fd7b60f67f33f83.tif,G-sacculifer
O-universa/fd72d3af2e7a4566863b4d79ab41a634.tif,O-universa
G-siphonifera/12e0968371974717a299c408ec57c19e.tif,G-siphonifera
G-tumida/7583612f856a4df6aa5ac286bb140c52.tif,G-tumida
N-humerosa/fc90a03d8ab34f42a683431af31aa01f.tif,N-humerosa
G-truncatulinoides/427fedb743364ba0a956eae06fac6c84.tif,G-truncatulinoides
G-truncatulinoides/8ade1ccbd8544ea5afe54492fb0d4c3d.tif,G-truncatulinoides
G-siphonifera/56e6652c20e24f85b05cfb89756ad293.tif,G-siphonifera
G-crassaformis/22354832afa24e778c5544fe22bf6b9d.tif,G-crassaformis
G-tumida/6c81def3394d40bfbc73d006f2927dfe.tif,G-tumida
G-truncatulinoides/f0e1d76324274da5ab46b3b0d5bd8791.tif,G-truncatulinoides
G-crassaformis/d28c88f1668c419499d82f7a472bc859.tif,G-crassaformis
G-ruber/dd0348b5d5434249a54ec332e3b9681c.tif,G-ruber
N-acostaensis/4433893961144ca2abb4aa8b95de4b82.tif,N-acostaensis
G-crassaformis/b697ea02f4174a4d802c3c6f8a0ad853.tif,G-crassaformis
N-acostaensis/040575211d8848f1a36f1dc96e63e03e.tif,N-acostaensis
G-sacculifer/0558d50d235845fa98074b7c18c4c29e.tif,G-sacculifer
G-siphonifera/9a33fbcd9ba74b2a8edce0b7727a29c5.tif,G-siphonifera
N-acostaensis/085f0c1f91a74674bd0bc3f49e4f4a3e.tif,N-acostaensis
G-ruber/85f5150a18494441b7f51b1ed78787bf.tif,G-ruber
G-ruber/86e87f809a9d442c860820ac4954fffc.tif,G-ruber
G-tumida/c2dfa303e13c4d85b0cc62ad4992e31c.tif,G-tumida
G-tumida/153458e974ba4033866ffbc6953c0d23.tif,G-tumida
